,0,1,2,3,4,5
0,0.010561,10.0.0.1,10.0.0.11,UDP,1512,51153  >  5001 Len=1470
1,0.013201,10.0.0.3,10.0.0.11,UDP,1512,51038  >  5001 Len=1470
2,0.015841,10.0.0.5,10.0.0.11,UDP,1512,47735  >  5001 Len=1470
3,0.018481,10.0.0.7,10.0.0.11,UDP,1512,43902  >  5001 Len=1470
4,0.021121,10.0.0.1,10.0.0.11,UDP,1512,51153  >  5001 Len=1470
5,0.023761,10.0.0.3,10.0.0.11,UDP,1512,51038  >  5001 Len=1470
6,0.026402,10.0.0.4,10.0.0.11,UDP,1512,40725  >  5001 Len=1470
7,0.029042,10.0.0.6,10.0.0.11,UDP,1512,52893  >  5001 Len=1470
8,0.031682,10.0.0.1,10.0.0.11,UDP,1512,51153  >  5001 Len=1470
9,0.034322,10.0.0.3,10.0.0.11,UDP,1512,51038  >  5001 Len=1470
10,0.036962,10.0.0.5,10.0.0.11,UDP,1512,47735  >  5001 Len=1470
11,0.039602,10.0.0.5,10.0.0.11,UDP,1512,47735  >  5001 Len=1470
12,0.042243,10.0.0.1,10.0.0.11,UDP,1512,51153  >  5001 Len=1470
13,0.044883,10.0.0.3,10.0.0.11,UDP,1512,51038  >  5001 Len=1470
14,0.047523,10.0.0.3,10.0.0.11,UDP,1512,51038  >  5001 Len=1470
15,0.050163,10.0.0.7,10.0.0.11,UDP,1512,43902  >  5001 Len=1470
16,0.052803,10.0.0.1,10.0.0.11,UDP,1512,51153  >  5001 Len=1470
17,0.055443,10.0.0.3,10.0.0.11,UDP,1512,51038  >  5001 Len=1470
18,0.058084,10.0.0.4,10.0.0.11,UDP,1512,40725  >  5001 Len=1470
19,0.060724,10.0.0.6,10.0.0.11,UDP,1512,52893  >  5001 Len=1470
20,0.063364,10.0.0.1,10.0.0.11,UDP,1512,51153  >  5001 Len=1470
21,0.066004,10.0.0.3,10.0.0.11,UDP,1512,51038  >  5001 Len=1470
22,0.068644,10.0.0.5,10.0.0.11,UDP,1512,47735  >  5001 Len=1470
23,0.071284,10.0.0.7,10.0.0.11,UDP,1512,43902  >  5001 Len=1470
24,0.073925,10.0.0.1,10.0.0.11,UDP,1512,51153  >  5001 Len=1470
