,0,1,2,3,4,5
0,0.00057,10.0.0.5,10.0.0.15,UDP,842,35475 → 28866 Len=800
1,0.000713,10.0.0.7,10.0.0.18,UDP,728,54854 → 28866 Len=686
2,0.00114,10.0.0.5,10.0.0.15,UDP,220,35475 → 28866 Len=178
3,0.001283,10.0.0.7,10.0.0.18,UDP,430,54854 → 28866 Len=388
4,0.00171,10.0.0.5,10.0.0.13,UDP,668,35475 → 28866 Len=626
5,0.001853,10.0.0.8,10.0.0.20,UDP,593,60618 → 28866 Len=551
6,0.00228,10.0.0.5,10.0.0.13,UDP,265,35475 → 28866 Len=223
7,0.002423,10.0.0.7,10.0.0.19,UDP,545,54854 → 28866 Len=503
8,0.00285,10.0.0.7,10.0.0.16,UDP,869,54854 → 28866 Len=827
9,0.002993,10.0.0.7,10.0.0.20,UDP,754,54854 → 28866 Len=712
10,0.003421,10.0.0.8,10.0.0.13,UDP,449,60618 → 28866 Len=407
11,0.003563,10.0.0.7,10.0.0.20,UDP,967,54854 → 28866 Len=925
12,0.003991,10.0.0.5,10.0.0.11,UDP,142,35475 → 28866 Len=100
13,0.004133,10.0.0.5,10.0.0.20,UDP,787,35475 → 28866 Len=745
14,0.004561,10.0.0.8,10.0.0.12,UDP,730,60618 → 28866 Len=688
15,0.004703,10.0.0.4,10.0.0.20,UDP,1042,56160 → 43355 Len=1000
16,0.005131,10.0.0.8,10.0.0.12,UDP,949,60618 → 28866 Len=907
17,0.005273,10.0.0.4,10.0.0.20,UDP,1042,56160 → 43355 Len=1000
18,0.005701,10.0.0.4,10.0.0.16,UDP,1042,56160 → 43355 Len=1000
19,0.005843,10.0.0.4,10.0.0.20,UDP,1042,56160 → 43355 Len=1000
20,0.006271,10.0.0.4,10.0.0.16,UDP,1042,56160 → 43355 Len=1000
21,0.006413,10.0.0.4,10.0.0.20,UDP,1042,56160 → 43355 Len=1000
22,0.006841,10.0.0.4,10.0.0.16,UDP,1042,56160 → 43355 Len=1000
23,0.006984,10.0.0.4,10.0.0.20,UDP,1042,56160 → 43355 Len=1000
24,0.007411,10.0.0.4,10.0.0.16,UDP,1042,56160 → 43355 Len=1000
25,0.007554,10.0.0.4,10.0.0.17,UDP,1042,56160 → 43355 Len=1000
26,0.007981,10.0.0.4,10.0.0.16,UDP,1042,56160 → 43355 Len=1000
27,0.008124,10.0.0.4,10.0.0.17,UDP,1042,56160 → 43355 Len=1000
28,0.008551,10.0.0.8,10.0.0.16,UDP,666,60618 → 28866 Len=624
29,0.008694,10.0.0.4,10.0.0.17,UDP,1042,56160 → 43355 Len=1000
30,0.009121,10.0.0.8,10.0.0.16,UDP,1014,60618 → 28866 Len=972
31,0.009264,10.0.0.4,10.0.0.17,UDP,1042,56160 → 43355 Len=1000
32,0.009691,10.0.0.4,10.0.0.12,UDP,1042,56160 → 43355 Len=1000
33,0.009834,10.0.0.4,10.0.0.17,UDP,1042,56160 → 43355 Len=1000
34,0.010262,10.0.0.4,10.0.0.12,UDP,1042,56160 → 43355 Len=1000
35,0.010404,10.0.0.1,10.0.0.19,UDP,1042,57147 → 43355 Len=1000
36,0.010832,10.0.0.4,10.0.0.14,UDP,1042,56160 → 43355 Len=1000
37,0.010974,10.0.0.1,10.0.0.19,UDP,1042,57147 → 43355 Len=1000
38,0.011402,10.0.0.4,10.0.0.14,UDP,1042,56160 → 43355 Len=1000
39,0.011544,10.0.0.1,10.0.0.19,UDP,1042,57147 → 43355 Len=1000
40,0.011972,10.0.0.4,10.0.0.14,UDP,1042,56160 → 43355 Len=1000
41,0.012114,10.0.0.1,10.0.0.19,UDP,1042,57147 → 43355 Len=1000
42,0.012542,10.0.0.4,10.0.0.12,UDP,1042,56160 → 43355 Len=1000
43,0.012684,10.0.0.1,10.0.0.20,UDP,1042,57147 → 43355 Len=1000
44,0.013112,10.0.0.4,10.0.0.16,UDP,1042,56160 → 43355 Len=1000
45,0.013254,10.0.0.1,10.0.0.20,UDP,1042,57147 → 43355 Len=1000
46,0.013682,10.0.0.5,10.0.0.13,UDP,767,35475 → 28866 Len=725
47,0.013825,10.0.0.1,10.0.0.20,UDP,1042,57147 → 43355 Len=1000
48,0.014252,10.0.0.4,10.0.0.16,UDP,1042,56160 → 43355 Len=1000
49,0.014395,10.0.0.4,10.0.0.17,UDP,1042,56160 → 43355 Len=1000
50,0.014822,10.0.0.4,10.0.0.16,UDP,1042,56160 → 43355 Len=1000
51,0.014965,10.0.0.4,10.0.0.17,UDP,1042,56160 → 43355 Len=1000
52,0.015392,10.0.0.4,10.0.0.11,UDP,1042,56160 → 43355 Len=1000
53,0.015535,10.0.0.1,10.0.0.19,UDP,1042,57147 → 43355 Len=1000
54,0.015962,10.0.0.4,10.0.0.11,UDP,1042,56160 → 43355 Len=1000
55,0.016105,10.0.0.8,10.0.0.19,UDP,46,60618 → 28866 Len=4
56,0.016532,10.0.0.4,10.0.0.11,UDP,1042,56160 → 43355 Len=1000
57,0.016675,10.0.0.4,10.0.0.17,UDP,1042,56160 → 43355 Len=1000
58,0.017103,10.0.0.4,10.0.0.11,UDP,1042,56160 → 43355 Len=1000
59,0.017245,10.0.0.4,10.0.0.18,UDP,1042,56160 → 43355 Len=1000
60,0.017673,10.0.0.4,10.0.0.11,UDP,1042,56160 → 43355 Len=1000
61,0.017815,10.0.0.4,10.0.0.18,UDP,1042,56160 → 43355 Len=1000
62,0.018243,10.0.0.1,10.0.0.11,UDP,1042,57147 → 43355 Len=1000
63,0.018385,10.0.0.4,10.0.0.18,UDP,1042,56160 → 43355 Len=1000
64,0.018813,10.0.0.1,10.0.0.11,UDP,1042,57147 → 43355 Len=1000
65,0.018955,10.0.0.4,10.0.0.18,UDP,1042,56160 → 43355 Len=1000
66,0.019383,10.0.0.5,10.0.0.11,UDP,377,35475 → 28866 Len=335
67,0.019525,10.0.0.4,10.0.0.18,UDP,1042,56160 → 43355 Len=1000
68,0.019953,10.0.0.1,10.0.0.11,UDP,1042,57147 → 43355 Len=1000
69,0.020096,10.0.0.6,10.0.0.18,UDP,1042,60324 → 43355 Len=1000
70,0.020523,10.0.0.4,10.0.0.11,UDP,1042,56160 → 43355 Len=1000
71,0.020666,10.0.0.6,10.0.0.18,UDP,1042,60324 → 43355 Len=1000
72,0.021093,10.0.0.1,10.0.0.11,UDP,1042,57147 → 43355 Len=1000
73,0.021236,10.0.0.6,10.0.0.18,UDP,1042,60324 → 43355 Len=1000
74,0.021663,10.0.0.1,10.0.0.12,UDP,1042,57147 → 43355 Len=1000
75,0.021806,10.0.0.6,10.0.0.18,UDP,1042,60324 → 43355 Len=1000
76,0.022233,10.0.0.1,10.0.0.12,UDP,1042,57147 → 43355 Len=1000
77,0.022376,10.0.0.9,10.0.0.20,UDP,1042,47628 → 43355 Len=1000
78,0.022803,10.0.0.1,10.0.0.12,UDP,1042,57147 → 43355 Len=1000
79,0.022946,10.0.0.9,10.0.0.20,UDP,1042,47628 → 43355 Len=1000
80,0.023373,10.0.0.1,10.0.0.12,UDP,1042,57147 → 43355 Len=1000
81,0.023516,10.0.0.4,10.0.0.18,UDP,1042,56160 → 43355 Len=1000
82,0.023944,10.0.0.1,10.0.0.12,UDP,1042,57147 → 43355 Len=1000
83,0.024086,10.0.0.9,10.0.0.20,UDP,1042,47628 → 43355 Len=1000
84,0.024514,10.0.0.1,10.0.0.12,UDP,1042,57147 → 43355 Len=1000
85,0.024656,10.0.0.9,10.0.0.20,UDP,1042,47628 → 43355 Len=1000
86,0.025084,10.0.0.6,10.0.0.11,UDP,1042,60324 → 43355 Len=1000
87,0.025226,10.0.0.9,10.0.0.20,UDP,1042,47628 → 43355 Len=1000
88,0.025654,10.0.0.6,10.0.0.11,UDP,1042,60324 → 43355 Len=1000
89,0.025796,10.0.0.6,10.0.0.17,UDP,1042,60324 → 43355 Len=1000
90,0.026224,10.0.0.6,10.0.0.11,UDP,1042,60324 → 43355 Len=1000
91,0.026366,10.0.0.6,10.0.0.17,UDP,1042,60324 → 43355 Len=1000
92,0.026794,10.0.0.6,10.0.0.11,UDP,1042,60324 → 43355 Len=1000
93,0.026937,10.0.0.6,10.0.0.17,UDP,1042,60324 → 43355 Len=1000
94,0.027364,10.0.0.6,10.0.0.11,UDP,1042,60324 → 43355 Len=1000
95,0.027507,10.0.0.9,10.0.0.17,UDP,1042,47628 → 43355 Len=1000
96,0.027934,10.0.0.6,10.0.0.11,UDP,1042,60324 → 43355 Len=1000
97,0.028077,10.0.0.9,10.0.0.17,UDP,1042,47628 → 43355 Len=1000
98,0.028504,10.0.0.6,10.0.0.11,UDP,1042,60324 → 43355 Len=1000
99,0.028647,10.0.0.9,10.0.0.17,UDP,1042,47628 → 43355 Len=1000
100,0.029074,10.0.0.6,10.0.0.11,UDP,1042,60324 → 43355 Len=1000
101,0.029217,10.0.0.9,10.0.0.17,UDP,1042,47628 → 43355 Len=1000
102,0.029644,10.0.0.1,10.0.0.11,UDP,1042,57147 → 43355 Len=1000
103,0.029787,10.0.0.9,10.0.0.17,UDP,1042,47628 → 43355 Len=1000
104,0.030215,10.0.0.4,10.0.0.11,UDP,1042,56160 → 43355 Len=1000
105,0.030357,10.0.0.4,10.0.0.19,UDP,1042,56160 → 43355 Len=1000
106,0.030785,10.0.0.1,10.0.0.12,UDP,1042,57147 → 43355 Len=1000
107,0.030927,10.0.0.4,10.0.0.19,UDP,1042,56160 → 43355 Len=1000
108,0.031355,10.0.0.6,10.0.0.11,UDP,1042,60324 → 43355 Len=1000
109,0.031497,10.0.0.4,10.0.0.19,UDP,1042,56160 → 43355 Len=1000
110,0.031925,10.0.0.1,10.0.0.16,UDP,1042,57147 → 43355 Len=1000
111,0.032067,10.0.0.4,10.0.0.19,UDP,1042,56160 → 43355 Len=1000
112,0.032495,10.0.0.1,10.0.0.16,UDP,1042,57147 → 43355 Len=1000
113,0.032637,10.0.0.4,10.0.0.19,UDP,1042,56160 → 43355 Len=1000
114,0.033065,10.0.0.1,10.0.0.16,UDP,1042,57147 → 43355 Len=1000
115,0.033207,10.0.0.1,10.0.0.18,UDP,1042,57147 → 43355 Len=1000
116,0.033635,10.0.0.1,10.0.0.16,UDP,1042,57147 → 43355 Len=1000
117,0.033778,10.0.0.1,10.0.0.18,UDP,1042,57147 → 43355 Len=1000
118,0.034205,10.0.0.1,10.0.0.16,UDP,1042,57147 → 43355 Len=1000
119,0.034348,10.0.0.9,10.0.0.20,UDP,1042,47628 → 43355 Len=1000
120,0.034775,10.0.0.1,10.0.0.13,UDP,1042,57147 → 43355 Len=1000
121,0.034918,10.0.0.4,10.0.0.20,UDP,1042,56160 → 43355 Len=1000
122,0.035345,10.0.0.1,10.0.0.13,UDP,1042,57147 → 43355 Len=1000
123,0.035488,10.0.0.6,10.0.0.17,UDP,1042,60324 → 43355 Len=1000
124,0.035915,10.0.0.1,10.0.0.13,UDP,1042,57147 → 43355 Len=1000
125,0.036058,10.0.0.4,10.0.0.18,UDP,1042,56160 → 43355 Len=1000
126,0.036485,10.0.0.1,10.0.0.13,UDP,1042,57147 → 43355 Len=1000
