,0,1,2,3,4,5,6
0,3,0.002412980,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
1,7,0.037895534,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
2,14,0.057311759,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
3,33,0.072339087,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
4,121,0.116260905,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
5,129,0.119121998,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
6,130,0.119190968,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
7,131,0.119229893,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
8,132,0.119275125,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
9,133,0.119315029,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
10,134,0.119353803,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
11,135,0.119422204,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
12,136,0.119460667,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
13,165,0.125858571,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
14,192,0.132280930,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
15,211,0.135602835,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
16,223,0.141107547,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
17,224,0.141180938,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
18,225,0.141276826,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
19,226,0.141350321,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
20,243,0.145616684,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
21,246,0.146800020,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
22,248,0.148504090,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
23,262,0.149564093,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
24,294,0.154456196,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
25,299,0.158418395,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
26,310,0.160645844,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
27,312,0.163552857,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
28,314,0.165084385,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
29,336,0.166198037,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
30,338,0.166341722,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
31,370,0.170327431,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
32,377,0.173336069,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
33,378,0.173440426,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
34,386,0.177482990,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
35,400,0.180479359,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
36,410,0.182991232,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
37,414,0.185618224,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
38,418,0.186086083,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
39,421,0.186186418,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
40,454,0.190854008,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
41,464,0.193211460,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
42,486,0.197549053,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
43,487,0.197607036,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
