,0,1,2,3,4,5
0,0.001222,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
1,0.001222,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
2,0.001222,10.0.0.5,10.0.0.11,UDP,1512,53202  >  5001 Len=1470
3,0.001222,10.0.0.7,10.0.0.11,UDP,1512,58476  >  5001 Len=1470
4,0.002445,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
5,0.002445,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
6,0.002445,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
7,0.002445,10.0.0.6,10.0.0.11,UDP,1512,59549  >  5001 Len=1470
8,0.003667,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
9,0.003667,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
10,0.003667,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
11,0.003667,10.0.0.5,10.0.0.11,UDP,1512,53202  >  5001 Len=1470
12,0.00489,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
13,0.00489,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
14,0.00489,10.0.0.5,10.0.0.11,UDP,1512,53202  >  5001 Len=1470
15,0.00489,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
16,0.006112,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
17,0.006112,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
18,0.006112,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
19,0.006112,10.0.0.7,10.0.0.11,UDP,1512,58476  >  5001 Len=1470
20,0.007335,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
21,0.007335,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
22,0.007335,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
23,0.007335,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
24,0.008557,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
25,0.008557,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
26,0.008557,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
27,0.008557,10.0.0.6,10.0.0.11,UDP,1512,59549  >  5001 Len=1470
28,0.009779,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
29,0.009779,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
30,0.009779,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
31,0.009779,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
32,0.011002,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
33,0.011002,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
34,0.011002,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
35,0.011002,10.0.0.5,10.0.0.11,UDP,1512,53202  >  5001 Len=1470
36,0.012224,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
37,0.012224,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
38,0.012224,10.0.0.5,10.0.0.11,UDP,1512,53202  >  5001 Len=1470
39,0.012224,10.0.0.7,10.0.0.11,UDP,1512,58476  >  5001 Len=1470
40,0.013447,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
41,0.013447,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
42,0.013447,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
43,0.013447,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
44,0.014669,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
45,0.014669,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
46,0.014669,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
47,0.014669,10.0.0.6,10.0.0.11,UDP,1512,59549  >  5001 Len=1470
48,0.015892,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
49,0.015892,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
50,0.015892,10.0.0.5,10.0.0.11,UDP,1512,53202  >  5001 Len=1470
51,0.015892,10.0.0.5,10.0.0.11,UDP,1512,53202  >  5001 Len=1470
52,0.017114,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
53,0.017114,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
54,0.017114,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
55,0.017114,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
56,0.018336,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
57,0.018336,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
58,0.018336,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
59,0.018336,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
60,0.019559,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
61,0.019559,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
62,0.019559,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
63,0.019559,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
64,0.020781,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
65,0.020781,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
66,0.020781,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
67,0.020781,10.0.0.7,10.0.0.11,UDP,1512,58476  >  5001 Len=1470
68,0.022004,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
69,0.022004,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
70,0.022004,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
71,0.022004,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
72,0.023226,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
73,0.023226,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
74,0.023226,10.0.0.5,10.0.0.11,UDP,1512,53202  >  5001 Len=1470
75,0.023226,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
76,0.024449,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
77,0.024449,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
78,0.024449,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
79,0.024449,10.0.0.6,10.0.0.11,UDP,1512,59549  >  5001 Len=1470
80,0.025671,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
81,0.025671,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
82,0.025671,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
83,0.025671,10.0.0.5,10.0.0.11,UDP,1512,53202  >  5001 Len=1470
84,0.026893,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
85,0.026893,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
86,0.026893,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
87,0.026893,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
88,0.028116,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
89,0.028116,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
90,0.028116,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
91,0.028116,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
92,0.029338,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
93,0.029338,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
94,0.029338,10.0.0.5,10.0.0.11,UDP,1512,53202  >  5001 Len=1470
95,0.029338,10.0.0.7,10.0.0.11,UDP,1512,58476  >  5001 Len=1470
96,0.030561,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
97,0.030561,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
98,0.030561,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
99,0.030561,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
100,0.031783,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
101,0.031783,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
102,0.031783,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
103,0.031783,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
104,0.033006,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
105,0.033006,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
106,0.033006,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
107,0.033006,10.0.0.6,10.0.0.11,UDP,1512,59549  >  5001 Len=1470
108,0.034228,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
109,0.034228,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
110,0.034228,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
111,0.034228,10.0.0.5,10.0.0.11,UDP,1512,53202  >  5001 Len=1470
112,0.03545,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
113,0.03545,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
114,0.03545,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
115,0.03545,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
116,0.036673,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
117,0.036673,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
118,0.036673,10.0.0.5,10.0.0.11,UDP,1512,53202  >  5001 Len=1470
119,0.036673,10.0.0.7,10.0.0.11,UDP,1512,58476  >  5001 Len=1470
120,0.037895,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
121,0.037895,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
122,0.037895,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
123,0.037895,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
124,0.039118,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
125,0.039118,10.0.0.2,10.0.0.11,UDP,1512,33544  >  5001 Len=1470
126,0.039118,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
127,0.039118,10.0.0.4,10.0.0.11,UDP,1512,57546  >  5001 Len=1470
128,0.04034,10.0.0.1,10.0.0.11,UDP,1512,40348  >  5001 Len=1470
129,0.04034,10.0.0.3,10.0.0.11,UDP,1512,45967  >  5001 Len=1470
