,0,1,2,3,4,5
0,0.200083102,10.0.0.2,10.0.0.18,UDP,1042,37474 → 43355 Len=1000
1,0.200415891,10.0.0.8,10.0.0.18,UDP,1042,49877 → 43355 Len=1000
2,0.200785477,10.0.0.1,10.0.0.12,UDP,1042,46777 → 43355 Len=1000
3,0.201025882,10.0.0.7,10.0.0.16,UDP,1042,58091 → 43355 Len=1000
4,0.201520061,10.0.0.2,10.0.0.12,UDP,1042,37474 → 43355 Len=1000
5,0.201539172,10.0.0.10,10.0.0.18,UDP,1042,52581 → 43355 Len=1000
6,0.201562883,10.0.0.4,10.0.0.12,UDP,1042,40448 → 43355 Len=1000
7,0.201639250,10.0.0.5,10.0.0.16,UDP,1042,58995 → 43355 Len=1000
8,0.202618167,10.0.0.7,10.0.0.18,UDP,1042,58091 → 43355 Len=1000
9,0.202874079,10.0.0.8,10.0.0.20,UDP,1042,49877 → 43355 Len=1000
10,0.203003919,10.0.0.2,10.0.0.11,UDP,1042,37474 → 43355 Len=1000
11,0.203138305,10.0.0.10,10.0.0.20,UDP,1042,52581 → 43355 Len=1000
12,0.203276456,10.0.0.5,10.0.0.17,UDP,1042,58995 → 43355 Len=1000
13,0.203622438,10.0.0.1,10.0.0.13,UDP,1042,46777 → 43355 Len=1000
14,0.204177640,10.0.0.2,10.0.0.20,UDP,1042,37474 → 43355 Len=1000
15,0.204547141,10.0.0.4,10.0.0.20,UDP,1042,40448 → 43355 Len=1000
16,0.204633928,10.0.0.7,10.0.0.14,UDP,1042,58091 → 43355 Len=1000
17,0.204849935,10.0.0.8,10.0.0.13,UDP,1042,49877 → 43355 Len=1000
18,0.205537234,10.0.0.2,10.0.0.15,UDP,1042,37474 → 43355 Len=1000
19,0.206136714,10.0.0.10,10.0.0.18,UDP,1042,52581 → 43355 Len=1000
20,0.206231464,10.0.0.4,10.0.0.20,UDP,1042,40448 → 43355 Len=1000
21,0.206336398,10.0.0.5,10.0.0.15,UDP,1042,58995 → 43355 Len=1000
22,0.206469368,10.0.0.1,10.0.0.17,UDP,1042,46777 → 43355 Len=1000
23,0.206900382,10.0.0.7,10.0.0.14,UDP,1042,58091 → 43355 Len=1000
24,0.207088604,10.0.0.2,10.0.0.12,UDP,1042,37474 → 43355 Len=1000
25,0.207607960,10.0.0.10,10.0.0.14,UDP,1042,52581 → 43355 Len=1000
26,0.207636749,10.0.0.8,10.0.0.15,UDP,1042,49877 → 43355 Len=1000
27,0.208498634,10.0.0.1,10.0.0.16,UDP,1042,46777 → 43355 Len=1000
28,0.209082146,10.0.0.5,10.0.0.17,UDP,1042,58995 → 43355 Len=1000
29,0.209255294,10.0.0.4,10.0.0.12,UDP,1042,40448 → 43355 Len=1000
