,0,1,2,3,4,5
0,17.000005958,10.0.0.6,10.0.0.14,UDP,1042,41823 → 43355 Len=1000
1,17.000122950,10.0.0.8,10.0.0.15,UDP,1042,45229 → 43355 Len=1000
2,17.000636433,10.0.0.7,10.0.0.16,UDP,1042,41000 → 43355 Len=1000
3,17.001102690,10.0.0.2,10.0.0.18,UDP,1042,39177 → 43355 Len=1000
4,17.001144904,10.0.0.10,10.0.0.20,UDP,1042,46076 → 43355 Len=1000
5,17.001425895,10.0.0.3,10.0.0.20,UDP,1042,59428 → 43355 Len=1000
6,17.001467436,10.0.0.8,10.0.0.16,UDP,1042,45229 → 43355 Len=1000
7,17.001624428,10.0.0.9,10.0.0.16,UDP,1042,55964 → 43355 Len=1000
8,17.001662418,10.0.0.1,10.0.0.14,UDP,1042,46139 → 43355 Len=1000
9,17.001844361,10.0.0.6,10.0.0.11,UDP,1042,41823 → 43355 Len=1000
10,17.002026422,10.0.0.4,10.0.0.16,UDP,1042,58638 → 43355 Len=1000
11,17.002521196,10.0.0.5,10.0.0.13,UDP,1042,60504 → 43355 Len=1000
12,17.003259799,10.0.0.9,10.0.0.20,UDP,1042,55964 → 43355 Len=1000
13,17.003672060,10.0.0.2,10.0.0.15,UDP,1042,39177 → 43355 Len=1000
14,17.003697097,10.0.0.8,10.0.0.14,UDP,1042,45229 → 43355 Len=1000
15,17.003719044,10.0.0.7,10.0.0.16,UDP,1042,41000 → 43355 Len=1000
16,17.003880909,10.0.0.10,10.0.0.12,UDP,1042,46076 → 43355 Len=1000
17,17.004127415,10.0.0.4,10.0.0.14,UDP,1042,58638 → 43355 Len=1000
18,17.004413974,10.0.0.3,10.0.0.14,UDP,1042,59428 → 43355 Len=1000
19,17.004547313,10.0.0.5,10.0.0.18,UDP,1042,60504 → 43355 Len=1000
20,17.004668138,10.0.0.1,10.0.0.19,UDP,1042,46139 → 43355 Len=1000
21,17.004824889,10.0.0.6,10.0.0.17,UDP,1042,41823 → 43355 Len=1000
22,17.005268053,10.0.0.7,10.0.0.20,UDP,1042,41000 → 43355 Len=1000
23,17.005386617,10.0.0.4,10.0.0.11,UDP,1042,58638 → 43355 Len=1000
24,17.005653649,10.0.0.8,10.0.0.12,UDP,1042,45229 → 43355 Len=1000
25,17.005923108,10.0.0.9,10.0.0.17,UDP,1042,55964 → 43355 Len=1000
26,17.006116566,10.0.0.2,10.0.0.15,UDP,1042,39177 → 43355 Len=1000
27,17.006211001,10.0.0.5,10.0.0.16,UDP,1042,60504 → 43355 Len=1000
28,17.006595013,10.0.0.6,10.0.0.12,UDP,1042,41823 → 43355 Len=1000
29,17.006673870,10.0.0.7,10.0.0.14,UDP,1042,41000 → 43355 Len=1000
30,17.006729896,10.0.0.10,10.0.0.14,UDP,1042,46076 → 43355 Len=1000
31,17.007297661,10.0.0.3,10.0.0.16,UDP,1042,59428 → 43355 Len=1000
32,17.007340399,10.0.0.8,10.0.0.12,UDP,1042,45229 → 43355 Len=1000
33,17.007427539,10.0.0.1,10.0.0.20,UDP,1042,46139 → 43355 Len=1000
34,17.007865145,10.0.0.7,10.0.0.18,UDP,1042,41000 → 43355 Len=1000
35,17.007897330,10.0.0.10,10.0.0.17,UDP,1042,46076 → 43355 Len=1000
36,17.008103073,10.0.0.6,10.0.0.11,UDP,1042,41823 → 43355 Len=1000
37,17.008253418,10.0.0.4,10.0.0.15,UDP,1042,58638 → 43355 Len=1000
38,17.008471464,10.0.0.9,10.0.0.18,UDP,1042,55964 → 43355 Len=1000
39,17.008613200,10.0.0.2,10.0.0.19,UDP,1042,39177 → 43355 Len=1000
40,17.008882360,10.0.0.1,10.0.0.12,UDP,1042,46139 → 43355 Len=1000
41,17.009000362,10.0.0.5,10.0.0.11,UDP,1042,60504 → 43355 Len=1000
42,17.009291100,10.0.0.8,10.0.0.13,UDP,1042,45229 → 43355 Len=1000
43,17.009408991,10.0.0.10,10.0.0.12,UDP,1042,46076 → 43355 Len=1000
44,17.009435173,10.0.0.3,10.0.0.12,UDP,1042,59428 → 43355 Len=1000
45,17.010036140,10.0.0.2,10.0.0.12,UDP,1042,39177 → 43355 Len=1000
46,17.010186987,10.0.0.7,10.0.0.19,UDP,1042,41000 → 43355 Len=1000
47,17.010211219,10.0.0.5,10.0.0.17,UDP,1042,60504 → 43355 Len=1000
48,17.010615864,10.0.0.6,10.0.0.19,UDP,1042,41823 → 43355 Len=1000
49,17.010638007,10.0.0.1,10.0.0.11,UDP,1042,46139 → 43355 Len=1000
50,17.010746473,10.0.0.4,10.0.0.17,UDP,1042,58638 → 43355 Len=1000
51,17.010866622,10.0.0.9,10.0.0.12,UDP,1042,55964 → 43355 Len=1000
52,17.010887224,10.0.0.10,10.0.0.19,UDP,1042,46076 → 43355 Len=1000
53,17.011052047,10.0.0.8,10.0.0.11,UDP,1042,45229 → 43355 Len=1000
54,17.012002737,10.0.0.1,10.0.0.14,UDP,1042,46139 → 43355 Len=1000
55,17.012121608,10.0.0.7,10.0.0.13,UDP,1042,41000 → 43355 Len=1000
56,17.012142421,10.0.0.10,10.0.0.11,UDP,1042,46076 → 43355 Len=1000
57,17.012298351,10.0.0.6,10.0.0.15,UDP,1042,41823 → 43355 Len=1000
58,17.012416851,10.0.0.3,10.0.0.19,UDP,1042,59428 → 43355 Len=1000
59,17.012584395,10.0.0.2,10.0.0.12,UDP,1042,39177 → 43355 Len=1000
60,17.012896280,10.0.0.4,10.0.0.19,UDP,1042,58638 → 43355 Len=1000
61,17.013133914,10.0.0.5,10.0.0.12,UDP,1042,60504 → 43355 Len=1000
62,17.013619480,10.0.0.8,10.0.0.18,UDP,1042,45229 → 43355 Len=1000
63,17.013709732,10.0.0.3,10.0.0.19,UDP,1042,59428 → 43355 Len=1000
64,17.013879756,10.0.0.9,10.0.0.18,UDP,1042,55964 → 43355 Len=1000
65,17.013970551,10.0.0.7,10.0.0.17,UDP,1042,41000 → 43355 Len=1000
66,17.014219049,10.0.0.10,10.0.0.17,UDP,1042,46076 → 43355 Len=1000
67,17.014289722,10.0.0.6,10.0.0.13,UDP,1042,41823 → 43355 Len=1000
68,17.014795236,10.0.0.5,10.0.0.19,UDP,1042,60504 → 43355 Len=1000
69,17.014968759,10.0.0.1,10.0.0.20,UDP,1042,46139 → 43355 Len=1000
70,17.015083964,10.0.0.8,10.0.0.20,UDP,1042,45229 → 43355 Len=1000
71,17.015201539,10.0.0.2,10.0.0.16,UDP,1042,39177 → 43355 Len=1000
72,17.015237176,10.0.0.4,10.0.0.18,UDP,1042,58638 → 43355 Len=1000
73,17.015406845,10.0.0.3,10.0.0.15,UDP,1042,59428 → 43355 Len=1000
74,17.015516735,10.0.0.6,10.0.0.20,UDP,1042,41823 → 43355 Len=1000
75,17.015922504,10.0.0.7,10.0.0.11,UDP,1042,41000 → 43355 Len=1000
76,17.015973816,10.0.0.10,10.0.0.15,UDP,1042,46076 → 43355 Len=1000
77,17.016467227,10.0.0.1,10.0.0.13,UDP,1042,46139 → 43355 Len=1000
78,17.016519668,10.0.0.5,10.0.0.19,UDP,1042,60504 → 43355 Len=1000
79,17.016555161,10.0.0.4,10.0.0.11,UDP,1042,58638 → 43355 Len=1000
80,17.016590048,10.0.0.9,10.0.0.12,UDP,1042,55964 → 43355 Len=1000
81,17.016665925,10.0.0.3,10.0.0.12,UDP,1042,59428 → 43355 Len=1000
82,17.016803415,10.0.0.8,10.0.0.17,UDP,1042,45229 → 43355 Len=1000
83,17.017431456,10.0.0.7,10.0.0.12,UDP,1042,41000 → 43355 Len=1000
84,17.018078780,10.0.0.2,10.0.0.17,UDP,1042,39177 → 43355 Len=1000
85,17.018130223,10.0.0.10,10.0.0.15,UDP,1042,46076 → 43355 Len=1000
86,17.018330141,10.0.0.6,10.0.0.12,UDP,1042,41823 → 43355 Len=1000
87,17.018842975,10.0.0.4,10.0.0.13,UDP,1042,58638 → 43355 Len=1000
88,17.018894447,10.0.0.3,10.0.0.17,UDP,1042,59428 → 43355 Len=1000
89,17.018930515,10.0.0.7,10.0.0.17,UDP,1042,41000 → 43355 Len=1000
90,17.019020317,10.0.0.9,10.0.0.19,UDP,1042,55964 → 43355 Len=1000
91,17.019166083,10.0.0.5,10.0.0.11,UDP,1042,60504 → 43355 Len=1000
92,17.019299515,10.0.0.1,10.0.0.13,UDP,1042,46139 → 43355 Len=1000
93,17.019526229,10.0.0.10,10.0.0.14,UDP,1042,46076 → 43355 Len=1000
94,17.019932296,10.0.0.6,10.0.0.15,UDP,1042,41823 → 43355 Len=1000
95,17.020104287,10.0.0.2,10.0.0.17,UDP,1042,39177 → 43355 Len=1000
96,17.020150101,10.0.0.8,10.0.0.12,UDP,1042,45229 → 43355 Len=1000
97,17.020176237,10.0.0.7,10.0.0.13,UDP,1042,41000 → 43355 Len=1000
98,17.020261236,10.0.0.9,10.0.0.13,UDP,1042,55964 → 43355 Len=1000
99,17.020815431,10.0.0.5,10.0.0.16,UDP,1042,60504 → 43355 Len=1000
100,17.020847332,10.0.0.4,10.0.0.16,UDP,1042,58638 → 43355 Len=1000
101,17.021372731,10.0.0.3,10.0.0.11,UDP,1042,59428 → 43355 Len=1000
102,17.021490940,10.0.0.2,10.0.0.12,UDP,1042,39177 → 43355 Len=1000
103,17.021525417,10.0.0.6,10.0.0.12,UDP,1042,41823 → 43355 Len=1000
104,17.021943152,10.0.0.1,10.0.0.13,UDP,1042,46139 → 43355 Len=1000
105,17.022157553,10.0.0.10,10.0.0.14,UDP,1042,46076 → 43355 Len=1000
106,17.022191508,10.0.0.8,10.0.0.14,UDP,1042,45229 → 43355 Len=1000
107,17.022219558,10.0.0.7,10.0.0.14,UDP,1042,41000 → 43355 Len=1000
108,17.022502894,10.0.0.9,10.0.0.14,UDP,1042,55964 → 43355 Len=1000
109,17.023142705,10.0.0.5,10.0.0.16,UDP,1042,60504 → 43355 Len=1000
110,17.023174488,10.0.0.3,10.0.0.18,UDP,1042,59428 → 43355 Len=1000
111,17.023273707,10.0.0.6,10.0.0.18,UDP,1042,41823 → 43355 Len=1000
112,17.023388199,10.0.0.10,10.0.0.11,UDP,1042,46076 → 43355 Len=1000
113,17.023412320,10.0.0.7,10.0.0.18,UDP,1042,41000 → 43355 Len=1000
114,17.023607795,10.0.0.4,10.0.0.17,UDP,1042,58638 → 43355 Len=1000
115,17.023718301,10.0.0.1,10.0.0.14,UDP,1042,46139 → 43355 Len=1000
116,17.024171276,10.0.0.2,10.0.0.15,UDP,1042,39177 → 43355 Len=1000
117,17.024828585,10.0.0.8,10.0.0.15,UDP,1042,45229 → 43355 Len=1000
118,17.024943847,10.0.0.9,10.0.0.15,UDP,1042,55964 → 43355 Len=1000
119,17.025060459,10.0.0.4,10.0.0.12,UDP,1042,58638 → 43355 Len=1000
120,17.025082149,10.0.0.3,10.0.0.11,UDP,1042,59428 → 43355 Len=1000
121,17.025250192,10.0.0.10,10.0.0.14,UDP,1042,46076 → 43355 Len=1000
122,17.025403637,10.0.0.1,10.0.0.13,UDP,1042,46139 → 43355 Len=1000
123,17.025521501,10.0.0.5,10.0.0.19,UDP,1042,60504 → 43355 Len=1000
124,17.025654124,10.0.0.6,10.0.0.11,UDP,1042,41823 → 43355 Len=1000
125,17.026031982,10.0.0.7,10.0.0.14,UDP,1042,41000 → 43355 Len=1000
126,17.026519448,10.0.0.2,10.0.0.15,UDP,1042,39177 → 43355 Len=1000
127,17.027088909,10.0.0.5,10.0.0.11,UDP,1042,60504 → 43355 Len=1000
128,17.027252593,10.0.0.4,10.0.0.12,UDP,1042,58638 → 43355 Len=1000
129,17.027275523,10.0.0.1,10.0.0.18,UDP,1042,46139 → 43355 Len=1000
130,17.027710042,10.0.0.8,10.0.0.13,UDP,1042,45229 → 43355 Len=1000
131,17.027859404,10.0.0.9,10.0.0.13,UDP,1042,55964 → 43355 Len=1000
132,17.027921739,10.0.0.3,10.0.0.11,UDP,1042,59428 → 43355 Len=1000
133,17.027975554,10.0.0.6,10.0.0.16,UDP,1042,41823 → 43355 Len=1000
134,17.028128234,10.0.0.10,10.0.0.17,UDP,1042,46076 → 43355 Len=1000
135,17.028541067,10.0.0.2,10.0.0.14,UDP,1042,39177 → 43355 Len=1000
136,17.028912928,10.0.0.7,10.0.0.20,UDP,1042,41000 → 43355 Len=1000
137,17.029042618,10.0.0.4,10.0.0.15,UDP,1042,58638 → 43355 Len=1000
138,17.029148507,10.0.0.1,10.0.0.19,UDP,1042,46139 → 43355 Len=1000
139,17.029387640,10.0.0.3,10.0.0.17,UDP,1042,59428 → 43355 Len=1000
140,17.029757341,10.0.0.5,10.0.0.14,UDP,1042,60504 → 43355 Len=1000
141,17.030169839,10.0.0.7,10.0.0.18,UDP,1042,41000 → 43355 Len=1000
142,17.030407763,10.0.0.6,10.0.0.13,UDP,1042,41823 → 43355 Len=1000
143,17.030434470,10.0.0.4,10.0.0.13,UDP,1042,58638 → 43355 Len=1000
144,17.030526193,10.0.0.8,10.0.0.12,UDP,1042,45229 → 43355 Len=1000
145,17.030650538,10.0.0.9,10.0.0.12,UDP,1042,55964 → 43355 Len=1000
146,17.030675643,10.0.0.1,10.0.0.12,UDP,1042,46139 → 43355 Len=1000
147,17.030824298,10.0.0.10,10.0.0.16,UDP,1042,46076 → 43355 Len=1000
148,17.030939058,10.0.0.5,10.0.0.14,UDP,1042,60504 → 43355 Len=1000
149,17.031462062,10.0.0.3,10.0.0.16,UDP,1042,59428 → 43355 Len=1000
150,17.031483620,10.0.0.7,10.0.0.12,UDP,1042,41000 → 43355 Len=1000
151,17.031579275,10.0.0.2,10.0.0.19,UDP,1042,39177 → 43355 Len=1000
152,17.031783855,10.0.0.6,10.0.0.13,UDP,1042,41823 → 43355 Len=1000
153,17.032209015,10.0.0.8,10.0.0.18,UDP,1042,45229 → 43355 Len=1000
154,17.032637824,10.0.0.1,10.0.0.14,UDP,1042,46139 → 43355 Len=1000
155,17.032659698,10.0.0.9,10.0.0.12,UDP,1042,55964 → 43355 Len=1000
156,17.032946943,10.0.0.10,10.0.0.19,UDP,1042,46076 → 43355 Len=1000
157,17.033223922,10.0.0.4,10.0.0.15,UDP,1042,58638 → 43355 Len=1000
158,17.033245802,10.0.0.5,10.0.0.14,UDP,1042,60504 → 43355 Len=1000
159,17.033700939,10.0.0.3,10.0.0.14,UDP,1042,59428 → 43355 Len=1000
160,17.033723055,10.0.0.2,10.0.0.14,UDP,1042,39177 → 43355 Len=1000
161,17.033763246,10.0.0.1,10.0.0.14,UDP,1042,46139 → 43355 Len=1000
162,17.034244363,10.0.0.7,10.0.0.17,UDP,1042,41000 → 43355 Len=1000
163,17.034398274,10.0.0.4,10.0.0.14,UDP,1042,58638 → 43355 Len=1000
164,17.034515147,10.0.0.9,10.0.0.13,UDP,1042,55964 → 43355 Len=1000
165,17.034721820,10.0.0.10,10.0.0.17,UDP,1042,46076 → 43355 Len=1000
166,17.034882347,10.0.0.6,10.0.0.11,UDP,1042,41823 → 43355 Len=1000
167,17.035084938,10.0.0.3,10.0.0.14,UDP,1042,59428 → 43355 Len=1000
168,17.035108729,10.0.0.8,10.0.0.13,UDP,1042,45229 → 43355 Len=1000
169,17.035238151,10.0.0.2,10.0.0.14,UDP,1042,39177 → 43355 Len=1000
170,17.035768023,10.0.0.5,10.0.0.16,UDP,1042,60504 → 43355 Len=1000
171,17.036240177,10.0.0.10,10.0.0.13,UDP,1042,46076 → 43355 Len=1000
172,17.036675848,10.0.0.8,10.0.0.19,UDP,1042,45229 → 43355 Len=1000
173,17.036795612,10.0.0.4,10.0.0.13,UDP,1042,58638 → 43355 Len=1000
174,17.036830429,10.0.0.1,10.0.0.18,UDP,1042,46139 → 43355 Len=1000
175,17.037038193,10.0.0.7,10.0.0.12,UDP,1042,41000 → 43355 Len=1000
176,17.037067527,10.0.0.3,10.0.0.20,UDP,1042,59428 → 43355 Len=1000
177,17.037286244,10.0.0.9,10.0.0.15,UDP,1042,55964 → 43355 Len=1000
178,17.037319061,10.0.0.5,10.0.0.18,UDP,1042,60504 → 43355 Len=1000
179,17.037343990,10.0.0.6,10.0.0.19,UDP,1042,41823 → 43355 Len=1000
180,17.038118625,10.0.0.2,10.0.0.15,UDP,1042,39177 → 43355 Len=1000
181,17.038151657,10.0.0.7,10.0.0.15,UDP,1042,41000 → 43355 Len=1000
182,17.038178969,10.0.0.10,10.0.0.17,UDP,1042,46076 → 43355 Len=1000
183,17.039078431,10.0.0.5,10.0.0.20,UDP,1042,60504 → 43355 Len=1000
184,17.039479147,10.0.0.3,10.0.0.11,UDP,1042,59428 → 43355 Len=1000
185,17.039511268,10.0.0.4,10.0.0.19,UDP,1042,58638 → 43355 Len=1000
186,17.039534588,10.0.0.2,10.0.0.17,UDP,1042,39177 → 43355 Len=1000
187,17.039559369,10.0.0.1,10.0.0.15,UDP,1042,46139 → 43355 Len=1000
188,17.039585760,10.0.0.8,10.0.0.11,UDP,1042,45229 → 43355 Len=1000
189,17.039783803,10.0.0.7,10.0.0.19,UDP,1042,41000 → 43355 Len=1000
190,17.039929884,10.0.0.9,10.0.0.15,UDP,1042,55964 → 43355 Len=1000
191,17.039957388,10.0.0.6,10.0.0.16,UDP,1042,41823 → 43355 Len=1000
192,17.040650204,10.0.0.10,10.0.0.20,UDP,1042,46076 → 43355 Len=1000
193,17.041426376,10.0.0.1,10.0.0.19,UDP,1042,46139 → 43355 Len=1000
194,17.041542410,10.0.0.7,10.0.0.15,UDP,1042,41000 → 43355 Len=1000
195,17.041699856,10.0.0.2,10.0.0.18,UDP,1042,39177 → 43355 Len=1000
196,17.041725742,10.0.0.9,10.0.0.18,UDP,1042,55964 → 43355 Len=1000
197,17.041894693,10.0.0.5,10.0.0.17,UDP,1042,60504 → 43355 Len=1000
198,17.041923090,10.0.0.3,10.0.0.20,UDP,1042,59428 → 43355 Len=1000
199,17.042013324,10.0.0.10,10.0.0.19,UDP,1042,46076 → 43355 Len=1000
200,17.042216020,10.0.0.8,10.0.0.20,UDP,1042,45229 → 43355 Len=1000
201,17.042491133,10.0.0.6,10.0.0.20,UDP,1042,41823 → 43355 Len=1000
202,17.042608518,10.0.0.4,10.0.0.18,UDP,1042,58638 → 43355 Len=1000
203,17.043167546,10.0.0.9,10.0.0.17,UDP,1042,55964 → 43355 Len=1000
204,17.043188515,10.0.0.10,10.0.0.19,UDP,1042,46076 → 43355 Len=1000
205,17.043362798,10.0.0.5,10.0.0.12,UDP,1042,60504 → 43355 Len=1000
206,17.043386647,10.0.0.1,10.0.0.20,UDP,1042,46139 → 43355 Len=1000
207,17.044068763,10.0.0.6,10.0.0.18,UDP,1042,41823 → 43355 Len=1000
208,17.044332898,10.0.0.7,10.0.0.12,UDP,1042,41000 → 43355 Len=1000
209,17.044448602,10.0.0.2,10.0.0.18,UDP,1042,39177 → 43355 Len=1000
210,17.044663420,10.0.0.3,10.0.0.17,UDP,1042,59428 → 43355 Len=1000
211,17.045017961,10.0.0.1,10.0.0.13,UDP,1042,46139 → 43355 Len=1000
212,17.045134863,10.0.0.9,10.0.0.13,UDP,1042,55964 → 43355 Len=1000
213,17.045156501,10.0.0.8,10.0.0.13,UDP,1042,45229 → 43355 Len=1000
214,17.045425864,10.0.0.4,10.0.0.15,UDP,1042,58638 → 43355 Len=1000
