frame.number,frame.time_relative,ip.src,ip.dst,_ws.col.Protocol,frame.len
"48527","0.882853000","237.222.90.243","236.40.155.206","TCP","1504"
"50278","0.914766000","237.222.90.243","236.40.155.206","TCP","1425"
"164169","2.978277000","237.222.90.243","236.40.155.206","TCP","81"
"241903","4.425375000","237.222.90.243","236.40.155.206","TCP","76"
"306359","5.617254000","237.222.90.243","236.40.155.206","TCP","50"
"382361","7.000936000","237.222.90.243","236.40.155.206","TCP","501"
"382552","7.004389000","237.222.90.243","236.40.155.206","TCP","93"
"382556","7.004439000","237.222.90.243","236.40.155.206","TCP","1504"
"382816","7.008383000","237.222.90.243","236.40.155.206","TCP","230"
"382821","7.008428000","237.222.90.243","236.40.155.206","TCP","1504"
"382881","7.009817000","237.222.90.243","236.40.155.206","TCP","60"
"382882","7.009818000","237.222.90.243","236.40.155.206","TCP","1504"
"428719","7.815598000","237.222.90.243","236.40.155.206","TCP","1504"
"429089","7.822656000","237.222.90.243","236.40.155.206","TCP","501"
"429251","7.825567000","237.222.90.243","236.40.155.206","TCP","245"
"429257","7.825612000","237.222.90.243","236.40.155.206","TCP","1504"
"474995","8.640366000","237.222.90.243","236.40.155.206","TCP","1504"
"475256","8.645581000","237.222.90.243","236.40.155.206","TCP","1504"
"517835","9.425850000","237.222.90.243","236.40.155.206","TCP","227"
"517840","9.425895000","237.222.90.243","236.40.155.206","TCP","1504"
"595960","10.880440000","237.222.90.243","236.40.155.206","TCP","81"
"667474","12.175582000","237.222.90.243","236.40.155.206","TCP","76"
"738977","13.501148000","237.222.90.243","236.40.155.206","TCP","50"
"812530","14.818940000","237.222.90.243","236.40.155.206","TCP","501"
"812749","14.822657000","237.222.90.243","236.40.155.206","TCP","1504"
"812756","14.822747000","237.222.90.243","236.40.155.206","TCP","93"
"812861","14.824708000","237.222.90.243","236.40.155.206","TCP","1504"
"812873","14.824888000","237.222.90.243","236.40.155.206","TCP","230"
"846328","15.430508000","237.222.90.243","236.40.155.206","TCP","1504"
"846432","15.432419000","237.222.90.243","236.40.155.206","TCP","1504"
"846565","15.435037000","237.222.90.243","236.40.155.206","TCP","261"
"846566","15.435079000","237.222.90.243","236.40.155.206","TCP","1504"
"855169","15.591890000","237.222.90.243","236.40.155.206","TCP","1504"
"886771","16.164889000","237.222.90.243","236.40.155.206","TCP","1504"
"886802","16.165493000","237.222.90.243","236.40.155.206","TCP","773"
"891612","16.251963000","237.222.90.243","236.40.155.206","TCP","958"
"979466","17.852565000","237.222.90.243","236.40.155.206","TCP","81"
"1049064","19.114726000","237.222.90.243","236.40.155.206","TCP","74"
"1124857","20.471885000","237.222.90.243","236.40.155.206","TCP","50"
"1199710","21.810705000","237.222.90.243","236.40.155.206","TCP","501"
"1199955","21.814660000","237.222.90.243","236.40.155.206","TCP","93"
"1199960","21.814712000","237.222.90.243","236.40.155.206","TCP","1504"
"1200066","21.816737000","237.222.90.243","236.40.155.206","TCP","230"
"1200070","21.816781000","237.222.90.243","236.40.155.206","TCP","1504"
"1200158","21.818277000","237.222.90.243","236.40.155.206","TCP","60"
"1200159","21.818292000","237.222.90.243","236.40.155.206","TCP","1504"
"1233902","22.437333000","237.222.90.243","236.40.155.206","TCP","1504"
"1234242","22.444510000","237.222.90.243","236.40.155.206","TCP","1504"
"1234274","22.445020000","237.222.90.243","236.40.155.206","TCP","753"
"1234954","22.456408000","237.222.90.243","236.40.155.206","TCP","400"
"1266342","23.050098000","237.222.90.243","236.40.155.206","TCP","1504"
"1266709","23.057745000","237.222.90.243","236.40.155.206","TCP","1504"
"1266767","23.058669000","237.222.90.243","236.40.155.206","TCP","823"
"1390335","25.385435000","237.222.90.243","236.40.155.206","TCP","81"
"1476868","26.929538000","237.222.90.243","236.40.155.206","TCP","77"
"1558805","28.391157000","237.222.90.243","236.40.155.206","TCP","50"
"1631628","29.713803000","237.222.90.243","236.40.155.206","TCP","501"
"1631780","29.716405000","237.222.90.243","236.40.155.206","TCP","93"
"1631799","29.716813000","237.222.90.243","236.40.155.206","TCP","1504"
"1631888","29.718553000","237.222.90.243","236.40.155.206","TCP","1504"
"1631892","29.718641000","237.222.90.243","236.40.155.206","TCP","230"
"1631987","29.720503000","237.222.90.243","236.40.155.206","TCP","60"
"1631991","29.720557000","237.222.90.243","236.40.155.206","TCP","1504"
